"isolate","treatment","variable","mean_value","min_value","max_value","stdev_value","ENR","species","origin","mod_variable"
"56A10","inh","128",0.039,0.013,0.086,0.0235442845152137,"FabV","fulva","study_isolate",128
"56A10","inh","32",0.00433333333333333,0.001,0.007,0.00176383420737639,"FabV","fulva","study_isolate",32
"56A10","inh",".25",0.135333333333333,0.034,0.247,0.0617044929032274,"FabV","fulva","study_isolate",0.25
"56A10","inh","16",-0.000333333333333333,-0.001,0,0.000333333333333333,"FabV","fulva","study_isolate",16
"56A10","con","64",0.416333333333333,0.414,0.42,0.00185592145427668,"FabV","fulva","study_isolate",64
"56A10","inh","GC",0.185333333333333,0.107,0.295,0.0564869699822692,"FabV","fulva","study_isolate",0
"56A10","inh","1",0.041,0.008,0.096,0.0276827262626594,"FabV","fulva","study_isolate",1
"56A10","inh","8",0.000333333333333333,0,0.001,0.000333333333333333,"FabV","fulva","study_isolate",8
"56A10","inh","64",0.00766666666666667,0.004,0.011,0.00202758751009941,"FabV","fulva","study_isolate",64
"56A10","inh",".5",0.125666666666667,0.061,0.229,0.0522089817730415,"FabV","fulva","study_isolate",0.5
"56A10","inh","4",0.000333333333333333,0,0.001,0.000333333333333333,"FabV","fulva","study_isolate",4
"56A10","con","128",0.500333333333333,0.382,0.579,0.060228269479078,"FabV","fulva","study_isolate",128
"56A10","con","GC",1.337,1.321,1.353,0.00923760430703409,"FabV","fulva","study_isolate",0
"56A10","con",".25",1.31933333333333,1.28,1.347,0.0202017600993357,"FabV","fulva","study_isolate",0.25
"56A10","inh","2",0.005,0,0.012,0.00360555127546399,"FabV","fulva","study_isolate",2
"56A10","con","8",1.14466666666667,1.062,1.243,0.0528341219709805,"FabV","fulva","study_isolate",8
"56A10","con","32",0.404333333333333,0.353,0.444,0.0269093127208985,"FabV","fulva","study_isolate",32
"56A10","con",".5",1.31,1.274,1.337,0.0187349939951952,"FabV","fulva","study_isolate",0.5
"56A10","con","4",1.29033333333333,1.253,1.33,0.0222585813663955,"FabV","fulva","study_isolate",4
"56A10","con","16",0.609333333333333,0.519,0.691,0.0498408578488684,"FabV","fulva","study_isolate",16
